Numéro d'UAI;Appellation officielle;Dénomination principale;Dénomination complémentaire ou patronyme;Secteur;Adresse : désignation de la voie;Adresse : 5e ligne;Adresse : boite postale ou course spéciale;Adresse : code postal;Localité d'acheminement;Libellé de la commune;Géolocalisation : coordonnée X;Géolocalisation : coordonnée Y;EPSG;Latitude WGS84;Longitude WGS84;Appariement par IGN;localisation par IGN;Code nature de l'UAI;Libellé de la nature de l'UAI;Etat de l'établissement;Libellé de l'état de l'établissement;Code INSEE du département ou de la collectivité;Code INSEE de la région;Code de l'académie;Code INSEE de la commune;Libellé du département ou de la collectivité;Libellé de la région;Libellé de l'académie;Latitude et longitude WGS84;Code du type de contrat;Libellé du type de contrat;Code de la tutelle ministérielle;Libellé de la tutelle;Date de rentrée pédagogique;Sigle de l'UAI;Identifiants RNB
0761211D;Ecole élémentaire Arthur Fleury;ECOLE ELEMENTAIRE PUBLIQUE;ARTHUR FLEURY;Public;14 avenue Jacques Eberhard;;;76700;GONFREVILLE L ORCHER;Gonfreville-l'Orcher;499530.7;6937654.3;EPSG:2154;49.50661229916088;0.23274108030967258;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;076;28;70;76305;Seine-Maritime;Normandie;Normandie;49.50661229916088, 0.23274108030967258;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-12-14;E.E.PU;
0761236F;Ecole maternelle Aristide Briand;ECOLE MATERNELLE PUBLIQUE;ARISTIDE BRIAND;Public;330 rue Aristide Briand;;;76600;LE HAVRE;Le Havre;492785.8;6937215.9;EPSG:2154;49.50051516469426;0.13993432158110772;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;076;28;70;76351;Seine-Maritime;Normandie;Normandie;49.50051516469426, 0.13993432158110772;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-12-14;E.M.PU;
0761254A;Ecole maternelle Mailleraye;ECOLE MATERNELLE PUBLIQUE;MAILLERAYE;Public;39 rue Victor Hugo;;;76600;LE HAVRE;Le Havre;490081.1;6936355.4;EPSG:2154;49.491900667370125;0.1030716283863847;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;076;28;70;76351;Seine-Maritime;Normandie;Normandie;49.491900667370125, 0.1030716283863847;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-12-15;E.M.PU;
0761260G;Ecole maternelle George Sand;ECOLE MATERNELLE PUBLIQUE;GEORGE SAND;Public;150 rue de la Vallée;;;76600;LE HAVRE;Le Havre;494048.6;6936706.4;EPSG:2154;49.496348778130255;0.15760200077710088;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;076;28;70;76351;Seine-Maritime;Normandie;Normandie;49.496348778130255, 0.15760200077710088;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-12-15;E.M.PU;
0761275Y;Ecole élémentaire;ECOLE ELEMENTAIRE PUBLIQUE;;Public;5 place de la Mairie;;;76220;DAMPIERRE EN BRAY;Dampierre-en-Bray;602856.5;6937853.0;EPSG:2154;49.532555170487036;1.6585736719632993;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;076;28;70;76209;Seine-Maritime;Normandie;Normandie;49.532555170487036, 1.6585736719632993;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-12-13;E.E.PU;
0761297X;Ecole maternelle Marguerite Couturier;ECOLE MATERNELLE PUBLIQUE;MARGUERITE COUTURIER;Public;8 rue Beaufils;;;76440;FORGES LES EAUX;Forges-les-Eaux;594562.3;6946962.4;EPSG:2154;49.61308421195824;1.5417436804538673;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;076;28;70;76276;Seine-Maritime;Normandie;Normandie;49.61308421195824, 1.5417436804538673;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-09-26;E.M.PU;
0761309K;Ecole maternelle François Hanin;ECOLE MATERNELLE PUBLIQUE;FRANCOIS HANIN;Public;1 lieu-dit Le Mail;;;76430;ST ROMAIN DE COLBOSC;Saint-Romain-de-Colbosc;508783.0;6939370.7;EPSG:2154;49.52487574879082;0.3595695054120545;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;076;28;70;76647;Seine-Maritime;Normandie;Normandie;49.52487574879082, 0.3595695054120545;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-09-26;E.M.PU;
0761311M;Ecole maternelle la Ferme du Plan;ECOLE MATERNELLE PUBLIQUE;LA FERME DU PLAN;Public;49 rue des Hautes Haies;;;76240;BONSECOURS;Bonsecours;564032.8;6926753.0;EPSG:2154;49.4257094253766;1.126277797325773;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;076;28;70;76103;Seine-Maritime;Normandie;Normandie;49.4257094253766, 1.126277797325773;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-09-26;E.M.PU;
0761322Z;Lycée professionnel Claude Monet;LYCEE PROFESSIONNEL;CLAUDE MONET;Public;267 rue Félix Faure;;;76085;LE HAVRE CEDEX;Le Havre;490594.8;6937330.0;EPSG:2154;49.5008230976476;0.10966237521391733;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;076;28;70;76351;Seine-Maritime;Normandie;Normandie;49.5008230976476, 0.10966237521391733;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-12-09;LP;
0761502V;Ecole élémentaire Antoine de Condorcet;ECOLE ELEMENTAIRE PUBLIQUE;ANTOINE DE CONDORCET;Public;42 rue Poussin;;;76500;ELBEUF;Elbeuf;554779.0;6911391.5;EPSG:2154;49.28563130990978;1.0041562980299017;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;076;28;70;76231;Seine-Maritime;Normandie;Normandie;49.28563130990978, 1.0041562980299017;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-12-07;E.E.PU;
0761526W;Ecole maternelle Marie Pape Carpantier;ECOLE MATERNELLE PUBLIQUE;MARIE PAPE CARPANTIER;Public;Rue du Puits Mérot;;;76320;ST PIERRE LES ELBEUF;Saint-Pierre-lès-Elbeuf;557785.2;6910368.8;EPSG:2154;49.277116476623306;1.0458027152485507;Correcte;Rue;101;ECOLE MATERNELLE;1;OUVERT;076;28;70;76640;Seine-Maritime;Normandie;Normandie;49.277116476623306, 1.0458027152485507;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-12-08;E.M.PU;
